Date,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2021-01-04,85998532,1914530,556418,9396,640294,11377
2021-01-05,86740208,1929931,741676,15401,650415,11459
2021-01-06,87531297,1944927,791089,14996,659751,11356
2021-01-07,88402136,1959982,870839,15055,664152,11551
2021-01-08,89238832,1975521,836696,15539,699672,12349
2021-01-09,89996683,1988855,757851,13334,724970,13051
2021-01-10,90598523,1997796,601840,8941,736630,13237
2021-01-11,91212596,2007354,614073,9558,744866,13261
2021-01-12,91904578,2024302,691982,16948,737767,13482
2021-01-13,92648667,2041022,744089,16720,731053,13728
2021-01-14,93409890,2056610,761223,15588,715393,13804
2021-01-15,94194314,2072243,784424,15633,707926,13817
2021-01-16,94852162,2086164,657848,13921,693640,13901
2021-01-17,95379938,2095253,527776,9089,683059,13922
2021-01-18,95896595,2104872,516657,9619,669143,13931
2021-01-19,96489830,2120725,593235,15853,655036,13775
2021-01-20,97176788,2138868,686958,18143,646874,13978
2021-01-21,97846151,2156151,669363,17283,633752,14220
2021-01-22,98510412,2172232,664261,16081,616585,14284
2021-01-23,99087798,2186850,577386,14618,605091,14384
2021-01-24,99549884,2195957,462086,9107,595707,14386
2021-01-25,100030792,2206362,480908,10405,590600,14499
2021-01-26,100592320,2224173,561528,17811,586070,14778
2021-01-27,101193735,2241615,601415,17442,573850,14678
2021-01-28,101808776,2258177,615041,16562,566089,14575
2021-01-29,102398247,2273979,589471,15802,555405,14535
2021-01-30,102913518,2287429,515271,13450,546531,14368
2021-01-31,103310123,2296527,396605,9098,537177,14367
2021-02-01,103752688,2306150,442565,9623,531699,14255
2021-02-02,104217880,2321484,465192,15334,517937,13902
2021-02-03,104743426,2337679,525546,16195,507099,13723
2021-02-04,105215449,2350625,472023,12946,486668,13207
2021-02-05,105752476,2367926,537027,17301,479176,13421
2021-02-06,106188323,2379783,435847,11857,467829,13193
2021-02-07,106540137,2387143,351814,7360,461431,12945
2021-02-08,106879564,2396212,339427,9069,446697,12866
2021-02-09,107286701,2411279,407137,15067,438403,12828
2021-02-10,107727017,2425448,440316,14169,426227,12538
2021-02-11,108171909,2439315,444892,13867,422351,12670
2021-02-12,108602636,2452310,430727,12995,407166,12055
2021-02-13,108983366,2463034,380730,10724,399292,11893
2021-02-14,109292190,2469761,308824,6727,393150,11803
2021-02-15,109572409,2477164,280219,7403,384692,11565
2021-02-16,109931831,2488491,359422,11327,377876,11030
2021-02-17,110318342,2500087,386511,11596,370189,10663
2021-02-18,110729640,2512001,411298,11914,365390,10384
2021-02-19,111139580,2523693,409940,11692,362421,10198
2021-02-20,111515230,2532767,375650,9074,361695,9962
2021-02-21,111834482,2539343,319252,6576,363185,9940
2021-02-22,112129135,2546356,294653,7013,365247,9885
2021-02-23,112522443,2558026,393308,11670,370087,9934
2021-02-24,112967480,2570562,445037,12536,378448,10068
2021-02-25,113421072,2581421,453592,10859,384490,9917
2021-02-26,113863138,2591996,442066,10575,389080,9758
2021-02-27,114260988,2600691,397850,8695,392251,9703
2021-02-28,114569813,2607029,308825,6338,390762,9669
2021-03-01,114874850,2614416,305037,7387,392245,9723
2021-03-02,115188425,2624772,313575,10356,380855,9535
2021-03-03,115630622,2636546,442197,11774,380449,9426
2021-03-04,116089417,2647015,458795,10469,381192,9371
2021-03-05,116539442,2657485,450025,10470,382329,9356
2021-03-06,116953953,2665755,414511,8270,384709,9295
2021-03-07,117327861,2671692,373908,5937,394007,9238
2021-03-08,117632319,2678717,304458,7025,393924,9186
2021-03-09,118046564,2689280,414245,10563,408306,9215
2021-03-10,118505479,2699457,458915,10177,410694,8987
2021-03-11,118995836,2709693,490357,10236,415203,8954
2021-03-12,119485614,2719584,489778,9891,420882,8871
2021-03-13,119941781,2728176,456167,8592,426833,8917
2021-03-14,120306971,2733988,365190,5812,425587,8899
2021-03-15,120659926,2741454,352955,7466,432515,8962
2021-03-16,121126545,2752081,466619,10627,439997,8972
2021-03-17,121672187,2762677,545642,10596,452387,9031
2021-03-18,122220797,2773399,548610,10722,460709,9101
2021-03-19,122784013,2784225,563216,10826,471200,9234
2021-03-20,123283226,2793008,499213,8783,477349,9262
2021-03-21,123722665,2801454,439439,8446,487956,9638
2021-03-22,124142574,2809326,419909,7872,497521,9696
2021-03-23,124649657,2820817,507083,11491,503302,9819
2021-03-24,125279444,2831499,629787,10682,515322,9832
2021-03-25,125931456,2843056,652012,11557,530094,9951
2021-03-26,126572141,2855824,640685,12768,541161,10228
2021-03-27,127157204,2866034,585063,10210,553425,10432
2021-03-28,127649180,2873284,491976,7250,560931,10261
2021-03-29,128108148,2881882,458968,8598,566511,10365
2021-03-30,128669690,2893798,561542,11916,574290,10426
2021-03-31,129344579,2906701,674889,12903,580734,10743
2021-04-01,130054616,2918988,710037,12287,589023,10847
2021-04-02,130699335,2929619,644719,10631,589599,10542
2021-04-03,131240249,2938932,540914,9313,583292,10414
2021-04-04,131799592,2946314,559343,7382,592916,10433
2021-04-05,132294751,2954562,495159,8248,598086,10383
2021-04-06,132901342,2967002,606591,12440,604522,10458
2021-04-07,133565619,2982385,664277,15383,603006,10812
2021-04-08,134401976,2996720,836357,14335,621051,11105
2021-04-09,135149458,3011092,747482,14372,635732,11639
2021-04-10,135820843,3024124,671385,13032,654371,12170
2021-04-11,136529367,3033212,708524,9088,675682,12414
2021-04-12,137142099,3043098,612732,9886,692478,12648
2021-04-13,137906430,3056919,764331,13821,715013,12845
2021-04-14,138719032,3071018,812602,14099,736202,12662
2021-04-15,139539495,3084676,820463,13658,733931,12565
2021-04-16,140399677,3098064,860182,13388,750031,12425
2021-04-17,141193459,3110669,793782,12605,767517,12364
2021-04-18,141893297,3119780,699838,9111,766276,12367
2021-04-19,142583039,3130880,689742,11100,777277,12540
2021-04-20,143422747,3145202,839708,14322,788045,12612
2021-04-21,144311955,3159936,889208,14734,798989,12703
2021-04-22,145211836,3173812,899881,13876,810334,12734
2021-04-23,146119369,3189079,907533,15267,817099,13002
2021-04-24,146943967,3202201,824598,13122,821501,13076
2021-04-25,147672696,3212951,728729,10750,825628,13310
2021-04-26,148360462,3224541,687766,11590,825346,13380
2021-04-27,149199958,3239557,839496,15016,825316,13479
2021-04-28,150098583,3255535,898625,15978,826661,13657
2021-04-29,150993610,3271268,895027,15733,825968,13922
2021-04-30,151885385,3285680,891775,14412,823717,13800
2021-05-01,152680343,3298710,794958,13030,819482,13787
2021-05-02,153367519,3309013,687176,10303,813546,13723
2021-05-03,154056690,3320659,689171,11646,813747,13731
2021-05-04,154842345,3334777,785655,14118,806055,13603
